what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329606957498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329606968983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329606971597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329606971653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329606972406
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329606981953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329606992309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607007657
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1329607009906
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607016791
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329607026034
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607041236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607045863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607071152
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329607071175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607079107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607091432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607111854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607151829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607156490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607238370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607241627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607244297
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607249328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607250130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607251583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607255578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607260024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607261795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607296955
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329607299170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329607301485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607312405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607313295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607315367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607316907
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607326523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607327557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607341421
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329607349476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607352928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607353770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607354296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607357285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607360226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607365459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607368916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607392577
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607393963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607397397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607405068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607421293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607434361
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329607438149
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329607450046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607455393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329607456216
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329607459270
